latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
24.787,104.062,313.9,1.1,1.1,2021-08-31,0350,T,43,6.1NRT,294.7,7.7,D
24.675,104.534,324.9,1.2,1.1,2021-08-31,0350,T,81,6.1NRT,295.6,23,D
23.77,106.636,312.2,1.6,1.3,2021-08-31,0350,T,39,6.1NRT,294.3,9.4,D
23.187,109.051,315.6,2.5,1.5,2021-08-31,0350,T,55,6.1NRT,294.8,27.2,D
23.319,107.527,316.4,1.9,1.4,2021-08-31,0350,T,45,6.1NRT,294.8,20.7,D
23.684,104.811,315.1,1.3,1.1,2021-08-31,0350,T,60,6.1NRT,289.7,14.3,D
23.844,103.202,324.4,1.1,1,2021-08-31,0350,T,69,6.1NRT,298.8,15.8,D
23.704,103.281,316.7,1.1,1,2021-08-31,0350,T,29,6.1NRT,295.9,7.9,D
23.719,102.821,320.2,1,1,2021-08-31,0350,T,67,6.1NRT,298.4,9.1,D
22.614,107.979,312.2,2.1,1.4,2021-08-31,0350,T,36,6.1NRT,293.8,18.2,D
59.956,108.488,300.8,1.3,1.1,2021-08-31,0345,T,42,6.1NRT,290.1,5.1,D
60.116,106.518,326.2,1.5,1.2,2021-08-31,0345,T,75,6.1NRT,291.3,34.1,D
60.114,106.544,319,1.5,1.2,2021-08-31,0345,T,42,6.1NRT,292.1,20.7,D
60.103,106.541,322.7,1.5,1.2,2021-08-31,0345,T,62,6.1NRT,294.6,27,D
60.058,106.384,308,1.5,1.2,2021-08-31,0345,T,53,6.1NRT,292.6,10.4,D
59.868,108.447,305.4,1.3,1.1,2021-08-31,0345,T,61,6.1NRT,291.4,7.9,D
59.966,107.323,312.7,1.4,1.2,2021-08-31,0345,T,71,6.1NRT,292.4,15.4,D
59.894,108.08,347.6,1.3,1.1,2021-08-31,0345,T,95,6.1NRT,295.5,80,D
59.892,108.103,314.7,1.3,1.1,2021-08-31,0345,T,59,6.1NRT,292.7,15,D
59.884,108.077,397.3,1.3,1.1,2021-08-31,0345,T,100,6.1NRT,300.3,342.9,D
59.882,108.1,332.2,1.3,1.1,2021-08-31,0345,T,88,6.1NRT,295.6,41.2,D
